ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,ECO_BIOME_,NNH,NNH_NAME
366,Sierra Nevada forests,5,Temperate Conifer Forests,Nearctic,NE05,2,Nature Could Reach Half Protected
214,Simpson desert,13,Deserts & Xeric Shrublands,Australasia,AU13,2,Nature Could Reach Half Protected
545,Sinaloan dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,NO02,3,Nature Could Recover
546,Sinú Valley dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,NO02,3,Nature Could Recover
434,Snake-Columbia shrub steppe,13,Deserts & Xeric Shrublands,Nearctic,NE13,2,Nature Could Reach Half Protected
630,Society Islands tropical moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Oceania,OC01,2,Nature Could Reach Half Protected
105,Socotra Island xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,AF07,4,Nature Imperiled
503,Solimões-Japurá moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,2,Nature Could Reach Half Protected
152,Solomon Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,AU01,2,Nature Could Reach Half Protected
55,Somali Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,Nature Imperiled
324,Sonoran-Sinaloan subtropical dry forest,2,Tropical & Subtropical Dry Broadleaf Forests,Nearctic,NE02,4,Nature Imperiled
435,Sonoran desert,13,Deserts & Xeric Shrublands,Nearctic,NE13,2,Nature Could Reach Half Protected
615,South American Pacific mangroves,14,Mangroves,Neotropic,NO14,2,Nature Could Reach Half Protected
130,South Antarctic Peninsula tundra,11,Tundra,Antarctica,AN11,1,Half Protected
802,South Apennine mixed montane forests,12,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12,3,Nature Could Recover
367,South Central Rockies forests,5,Temperate Conifer Forests,Nearctic,NE05,3,Nature Could Recover
